[4/9/2024 12:06:53 AM]62.83 17.97 1126.6204 18.06 0
[4/9/2024 12:07:03 AM]50.45 18.23 1126.8796 18.40 0
[4/9/2024 12:07:13 AM]50.45 18.23 1126.8796 18.40 0
[4/9/2024 12:07:16 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:16 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:16 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:16 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:16 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:16 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:16 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:17 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:17 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:17 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:17 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:17 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:17 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:17 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:18 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:18 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:18 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:18 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:18 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:18 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:18 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:18 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:19 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:19 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:19 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:19 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:19 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:19 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:19 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:20 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:20 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:20 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:20 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:20 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:20 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:20 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:21 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:21 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:21 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:21 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:21 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:21 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:21 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:21 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:22 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:22 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:22 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:22 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:22 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:22 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:22 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:23 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:23 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:23 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:23 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:23 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:23 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:23 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:24 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:24 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:24 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:24 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:24 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:24 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:24 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:24 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:25 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:25 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:25 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:25 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:25 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:25 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:25 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:26 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:26 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:26 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:26 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:26 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:26 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:26 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:27 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:27 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:27 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:27 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:27 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:27 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:27 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:27 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:28 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:28 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:28 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:28 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:28 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:28 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:28 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:29 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:29 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:29 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:29 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:29 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:29 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:29 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:30 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:30 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:30 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:30 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:30 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:30 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:30 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:30 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:31 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:31 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:31 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:31 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:31 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:31 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:31 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:32 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:32 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:32 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:32 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:32 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:32 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:32 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:33 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:33 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:33 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:33 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:33 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:33 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:33 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:33 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:34 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:34 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:34 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:34 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:34 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:34 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:34 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:35 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:35 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:35 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:35 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:35 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:35 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:35 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:36 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:36 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:36 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:36 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:36 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:36 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:36 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:36 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:37 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:37 AM]TimeoutException: The operation has timed out.
[4/9/2024 12:07:37 AM]TimeoutException: The operation has timed out.
